protein1 protein2 experimental database textmining combined_score
362663.ECP_0002 362663.ECP_2405 291 0 0 290
362663.ECP_0002 362663.ECP_0497 291 0 0 290
362663.ECP_0002 362663.ECP_2830 0 0 221 221
362663.ECP_0002 362663.ECP_2600 0 0 230 229
362663.ECP_0002 362663.ECP_4171 0 0 273 273
362663.ECP_0002 362663.ECP_3965 0 0 223 223
362663.ECP_0002 362663.ECP_3210 0 0 223 223
362663.ECP_0002 362663.ECP_0633 291 0 0 290
362663.ECP_0002 362663.ECP_2851 280 0 0 280
362663.ECP_0002 362663.ECP_2329 291 0 0 290
362663.ECP_0002 362663.ECP_3437 263 0 0 263
362663.ECP_0002 362663.ECP_3527 134 0 268 338
362663.ECP_0002 362663.ECP_2358 134 0 268 338
362663.ECP_0002 362663.ECP_4242 0 0 234 234
362663.ECP_0002 362663.ECP_2865 0 0 223 223
362663.ECP_0002 362663.ECP_2601 0 0 230 229
362663.ECP_0002 362663.ECP_4172 0 0 221 221
362663.ECP_0002 362663.ECP_4461 263 0 0 263
362663.ECP_0002 362663.ECP_4149 0 0 475 475
362663.ECP_0004 362663.ECP_4772 0 0 161 161
362663.ECP_0009 362663.ECP_4252 285 0 0 284
362663.ECP_0009 362663.ECP_2925 167 0 0 167
362663.ECP_0009 362663.ECP_3762 181 0 0 181
362663.ECP_0009 362663.ECP_1025 156 0 0 155
362663.ECP_0009 362663.ECP_2749 243 0 0 242
362663.ECP_0009 362663.ECP_3667 243 0 0 242
362663.ECP_0009 362663.ECP_4114 243 0 0 242
362663.ECP_0009 362663.ECP_4060 153 0 0 152
362663.ECP_0009 362663.ECP_4689 167 0 0 167
362663.ECP_0009 362663.ECP_2546 167 0 0 167
362663.ECP_0009 362663.ECP_0709 213 0 0 213
362663.ECP_0009 362663.ECP_2901 153 0 0 152
362663.ECP_0009 362663.ECP_2411 153 0 0 152
362663.ECP_0009 362663.ECP_0939 248 0 0 248
362663.ECP_0009 362663.ECP_1565 0 600 0 600
362663.ECP_0009 362663.ECP_4028 0 600 0 600
362663.ECP_0009 362663.ECP_3471 275 0 0 275
362663.ECP_0009 362663.ECP_3685 243 0 0 242
362663.ECP_0009 362663.ECP_4233 167 0 0 167
362663.ECP_0009 362663.ECP_2359 156 0 0 155
362663.ECP_0009 362663.ECP_1093 0 600 0 600
362663.ECP_0009 362663.ECP_0786 154 0 0 153
362663.ECP_0009 362663.ECP_1329 166 0 0 165
362663.ECP_0009 362663.ECP_2625 199 0 0 199
362663.ECP_0009 362663.ECP_4327 275 0 0 275
362663.ECP_0009 362663.ECP_0784 166 0 0 165
362663.ECP_0009 362663.ECP_4516 167 0 0 167
362663.ECP_0009 362663.ECP_4090 167 0 0 167
362663.ECP_0009 362663.ECP_3973 199 0 0 199
362663.ECP_0009 362663.ECP_2905 156 0 0 155
362663.ECP_0009 362663.ECP_4273 248 0 0 248
