protein1 protein2 experimental database textmining combined_score
1034809.SLUG_00010 1034809.SLUG_08450 81 0 202 235
1034809.SLUG_00010 1034809.SLUG_21560 155 0 0 154
1034809.SLUG_00010 1034809.SLUG_22710 0 0 525 525
1034809.SLUG_00010 1034809.SLUG_09250 184 0 0 183
1034809.SLUG_00010 1034809.SLUG_14320 157 0 0 156
1034809.SLUG_00010 1034809.SLUG_23220 186 0 0 186
1034809.SLUG_00010 1034809.SLUG_00060 0 0 528 528
1034809.SLUG_00010 1034809.SLUG_00050 0 0 353 353
1034809.SLUG_00010 1034809.SLUG_07720 187 0 536 606
1034809.SLUG_00010 1034809.SLUG_13300 0 0 289 288
1034809.SLUG_00010 1034809.SLUG_12420 0 0 663 663
1034809.SLUG_00010 1034809.SLUG_15440 0 0 244 243
1034809.SLUG_00010 1034809.SLUG_24410 0 0 532 532
1034809.SLUG_00010 1034809.SLUG_01640 155 0 0 154
1034809.SLUG_00010 1034809.SLUG_15450 0 0 353 353
1034809.SLUG_00010 1034809.SLUG_00150 244 0 665 735
1034809.SLUG_00010 1034809.SLUG_24360 0 0 244 243
1034809.SLUG_00010 1034809.SLUG_14500 100 0 664 684
1034809.SLUG_00010 1034809.SLUG_12430 213 0 665 725
1034809.SLUG_00010 1034809.SLUG_00020 353 0 665 773
1034809.SLUG_00010 1034809.SLUG_12320 0 0 265 265
1034809.SLUG_00010 1034809.SLUG_23950 0 0 652 652
1034809.SLUG_00010 1034809.SLUG_24400 0 0 425 424
1034809.SLUG_00010 1034809.SLUG_13310 0 0 392 392
1034809.SLUG_00010 1034809.SLUG_08460 213 0 244 379
1034809.SLUG_00020 1034809.SLUG_22640 121 430 0 477
1034809.SLUG_00020 1034809.SLUG_22240 292 0 0 292
1034809.SLUG_00020 1034809.SLUG_10180 156 0 0 155
1034809.SLUG_00020 1034809.SLUG_13250 640 944 662 992
1034809.SLUG_00020 1034809.SLUG_10600 348 0 400 592
1034809.SLUG_00020 1034809.SLUG_13490 0 0 558 558
1034809.SLUG_00020 1034809.SLUG_10720 415 615 264 819
1034809.SLUG_00020 1034809.SLUG_12900 224 0 0 224
1034809.SLUG_00020 1034809.SLUG_16110 224 644 631 889
1034809.SLUG_00020 1034809.SLUG_14230 230 634 0 706
1034809.SLUG_00020 1034809.SLUG_12360 533 620 534 910
1034809.SLUG_00020 1034809.SLUG_14030 156 0 0 155
1034809.SLUG_00020 1034809.SLUG_18980 140 241 0 319
1034809.SLUG_00020 1034809.SLUG_04350 180 0 0 179
1034809.SLUG_00020 1034809.SLUG_12970 390 0 0 390
1034809.SLUG_00020 1034809.SLUG_23240 492 973 654 994
1034809.SLUG_00020 1034809.SLUG_12250 996 736 513 999
1034809.SLUG_00020 1034809.SLUG_15450 191 0 0 191
1034809.SLUG_00020 1034809.SLUG_10730 275 858 244 915
1034809.SLUG_00020 1034809.SLUG_17350 257 0 0 256
1034809.SLUG_00020 1034809.SLUG_00010 353 0 665 773
1034809.SLUG_00020 1034809.SLUG_11000 263 0 0 263
1034809.SLUG_00020 1034809.SLUG_24150 163 0 0 163
1034809.SLUG_00020 1034809.SLUG_14480 280 994 442 997
1034809.SLUG_00020 1034809.SLUG_16540 239 0 0 238
1034809.SLUG_00020 1034809.SLUG_08460 0 0 244 243
1034809.SLUG_00020 1034809.SLUG_22470 223 0 0 223
1034809.SLUG_00020 1034809.SLUG_15980 227 987 641 996
1034809.SLUG_00020 1034809.SLUG_14610 368 620 244 802
1034809.SLUG_00020 1034809.SLUG_12430 0 0 553 553
1034809.SLUG_00020 1034809.SLUG_10610 0 0 359 359
1034809.SLUG_00020 1034809.SLUG_20730 209 0 0 209
1034809.SLUG_00020 1034809.SLUG_09540 158 0 0 157
1034809.SLUG_00020 1034809.SLUG_12040 223 0 0 223
1034809.SLUG_00020 1034809.SLUG_23330 501 940 665 989
1034809.SLUG_00020 1034809.SLUG_10120 288 616 123 739
1034809.SLUG_00020 1034809.SLUG_07680 154 0 0 153
1034809.SLUG_00020 1034809.SLUG_00050 191 0 0 191
1034809.SLUG_00020 1034809.SLUG_15990 288 616 123 739
1034809.SLUG_00020 1034809.SLUG_20850 230 634 0 706
1034809.SLUG_00020 1034809.SLUG_16130 221 0 0 221
1034809.SLUG_00020 1034809.SLUG_23220 186 0 154 281
1034809.SLUG_00020 1034809.SLUG_15350 415 615 244 814
1034809.SLUG_00020 1034809.SLUG_11920 186 0 0 186
1034809.SLUG_00030 1034809.SLUG_18550 151 0 0 150
1034809.SLUG_00030 1034809.SLUG_17900 156 0 0 155
1034809.SLUG_00030 1034809.SLUG_16220 160 0 0 159
1034809.SLUG_00030 1034809.SLUG_13400 152 0 0 151
1034809.SLUG_00030 1034809.SLUG_11170 151 0 0 150
1034809.SLUG_00030 1034809.SLUG_14580 161 0 0 161
1034809.SLUG_00030 1034809.SLUG_17040 151 0 0 150
1034809.SLUG_00030 1034809.SLUG_20190 160 0 0 159
1034809.SLUG_00040 1034809.SLUG_23310 0 0 665 665
1034809.SLUG_00040 1034809.SLUG_10950 0 0 619 619
1034809.SLUG_00040 1034809.SLUG_16110 0 0 665 665
1034809.SLUG_00040 1034809.SLUG_14540 0 0 532 532
1034809.SLUG_00040 1034809.SLUG_12820 0 0 530 530
1034809.SLUG_00040 1034809.SLUG_13450 193 0 640 697
1034809.SLUG_00050 1034809.SLUG_18420 156 0 0 155
1034809.SLUG_00050 1034809.SLUG_07650 0 0 638 638
1034809.SLUG_00050 1034809.SLUG_08760 144 0 123 217
1034809.SLUG_00050 1034809.SLUG_00060 419 828 665 963
1034809.SLUG_00050 1034809.SLUG_20850 228 751 153 822
1034809.SLUG_00050 1034809.SLUG_09170 157 0 0 156
1034809.SLUG_00050 1034809.SLUG_07550 205 0 0 205
1034809.SLUG_00050 1034809.SLUG_23240 152 0 0 151
1034809.SLUG_00050 1034809.SLUG_11870 157 0 0 156
1034809.SLUG_00050 1034809.SLUG_18980 156 0 0 155
1034809.SLUG_00050 1034809.SLUG_23530 0 0 207 207
1034809.SLUG_00050 1034809.SLUG_16200 157 0 0 156
1034809.SLUG_00050 1034809.SLUG_14230 228 751 153 822
1034809.SLUG_00050 1034809.SLUG_15980 114 0 317 368
1034809.SLUG_00050 1034809.SLUG_16110 0 0 301 301
1034809.SLUG_00050 1034809.SLUG_00020 191 0 0 191
1034809.SLUG_00050 1034809.SLUG_16470 0 0 645 645
1034809.SLUG_00050 1034809.SLUG_13310 223 657 0 722
1034809.SLUG_00050 1034809.SLUG_21820 0 0 154 153
1034809.SLUG_00050 1034809.SLUG_16250 220 0 0 220
1034809.SLUG_00050 1034809.SLUG_16690 144 0 123 217
1034809.SLUG_00050 1034809.SLUG_00010 0 0 353 353
1034809.SLUG_00050 1034809.SLUG_15440 419 828 665 963
1034809.SLUG_00050 1034809.SLUG_10600 127 0 215 285
1034809.SLUG_00050 1034809.SLUG_01290 157 0 0 156
