#string_protein_1	string_protein_id_2	species_2	bitscore	start_1	end_1	start_2	end_2	size_2
362663.ECP_0002	362663.ECP_0002	362663	1688.7	1	820	1	820	820
362663.ECP_0002	362663.ECP_4149	362663	347.1	5	812	16	805	810
362663.ECP_0002	362663.ECP_4242	362663	177.6	3	460	6	448	449
362663.ECP_0003	362663.ECP_0003	362663	642.1	1	310	1	310	310
362663.ECP_0004	362663.ECP_0004	362663	882.9	1	428	1	428	428
362663.ECP_0005	362663.ECP_0005	362663	122.5	1	59	1	59	59
362663.ECP_0006	362663.ECP_0006	362663	194.1	1	95	1	95	95
362663.ECP_0006	362663.ECP_2416	362663	91.3	1	68	2	69	108
362663.ECP_0007	362663.ECP_0007	362663	531.2	1	258	1	258	258
362663.ECP_0008	362663.ECP_0008	362663	961.4	1	476	1	476	476
362663.ECP_0009	362663.ECP_0009	362663	649.4	1	317	1	317	317
362663.ECP_0009	362663.ECP_0838	362663	53.5	91	244	54	186	220
362663.ECP_0009	362663.ECP_2476	362663	423.3	3	314	2	313	316
362663.ECP_0009	362663.ECP_4160	362663	57.4	101	261	61	206	220
362663.ECP_0010	362663.ECP_0010	362663	397.1	1	195	1	195	195
362663.ECP_0010	362663.ECP_0796	362663	57.4	46	146	49	150	170
362663.ECP_0011	362663.ECP_0011	362663	365.2	1	188	1	188	188
362663.ECP_0012	362663.ECP_0012	362663	489.6	1	237	1	237	237
362663.ECP_0013	362663.ECP_0013	362663	274.2	1	134	1	134	134
362663.ECP_0014	362663.ECP_0014	362663	1289.6	1	638	1	638	638
362663.ECP_0014	362663.ECP_1710	362663	314.3	4	573	2	561	566
362663.ECP_0014	362663.ECP_2109	362663	65.5	4	355	2	421	450
362663.ECP_0014	362663.ECP_2531	362663	437.6	6	596	23	593	616
362663.ECP_0014	362663.ECP_3334	362663	53.9	123	280	95	229	347
362663.ECP_0015	362663.ECP_0015	362663	794.3	1	386	1	386	386
362663.ECP_0015	362663.ECP_1000	362663	179.5	11	358	1	297	306
362663.ECP_0016	362663.ECP_0016	362663	195.7	1	95	1	95	95
362663.ECP_0017	362663.ECP_0017	362663	519.6	1	253	1	253	253
362663.ECP_0017	362663.ECP_2431	362663	104.0	5	253	2	254	254
362663.ECP_0018	362663.ECP_0018	362663	1023.1	1	497	1	497	497
362663.ECP_0018	362663.ECP_1494	362663	125.6	20	480	47	536	560
362663.ECP_0018	362663.ECP_3883	362663	120.2	29	478	2	438	497
362663.ECP_0018	362663.ECP_3993	362663	97.8	28	372	83	412	551
362663.ECP_0019	362663.ECP_0019	362663	879.4	1	419	1	419	419
362663.ECP_0019	362663.ECP_4153	362663	122.1	1	414	1	370	374
362663.ECP_0020	362663.ECP_0020	362663	756.5	1	388	1	388	388
362663.ECP_0021	362663.ECP_0021	362663	631.3	1	301	1	301	301
362663.ECP_0021	362663.ECP_0636	362663	58.5	3	181	7	182	300
362663.ECP_0021	362663.ECP_1510	362663	51.6	6	162	1	156	293
362663.ECP_0021	362663.ECP_1958	362663	65.5	6	251	1	246	305
362663.ECP_0022	362663.ECP_0022	362663	170.2	1	87	1	87	87
362663.ECP_0023	362663.ECP_0023	362663	631.7	1	313	1	313	313
362663.ECP_0024	362663.ECP_0024	362663	1944.5	1	938	1	938	938
362663.ECP_0024	362663.ECP_0672	362663	73.9	58	629	42	646	860
362663.ECP_0024	362663.ECP_2152	362663	51.6	58	108	18	68	680
362663.ECP_0024	362663.ECP_4507	362663	153.3	46	775	30	762	951
362663.ECP_0025	362663.ECP_0025	362663	331.3	1	164	1	164	164
362663.ECP_0026	362663.ECP_0026	362663	301.6	1	149	1	149	149
362663.ECP_0026	362663.ECP_3438	362663	60.1	4	148	2	144	196
362663.ECP_0027	362663.ECP_0027	362663	660.6	1	321	1	321	321
362663.ECP_0028	362663.ECP_0028	362663	620.2	1	304	1	304	304
362663.ECP_0028	362663.ECP_0674	362663	234.2	1	302	1	309	311
362663.ECP_0028	362663.ECP_2202	362663	199.9	2	298	3	304	313
362663.ECP_0029	362663.ECP_0029	362663	546.6	1	273	1	273	273
362663.ECP_0030	362663.ECP_0030	362663	162.9	1	80	1	80	80
362663.ECP_0031	362663.ECP_0031	362663	792.3	1	382	1	382	382
362663.ECP_0031	362663.ECP_3451	362663	50.4	208	356	26	171	187
362663.ECP_0032	362663.ECP_0032	362663	2201.4	1	1072	1	1072	1072
362663.ECP_0032	362663.ECP_3341	362663	67.8	704	874	149	322	449
362663.ECP_0033	362663.ECP_0033	362663	148.7	1	72	1	72	72
362663.ECP_0034	362663.ECP_0034	362663	270.4	1	131	1	131	131
362663.ECP_0035	362663.ECP_0035	362663	403.3	1	196	1	196	196
362663.ECP_0035	362663.ECP_3367	362663	98.6	6	175	8	184	184
362663.ECP_0036	362663.ECP_0036	362663	528.1	1	261	1	261	261
362663.ECP_0036	362663.ECP_2306	362663	92.4	13	256	34	276	285
362663.ECP_0036	362663.ECP_2379	362663	108.6	9	195	12	204	714
362663.ECP_0036	362663.ECP_4059	362663	88.2	92	250	100	264	729
362663.ECP_0036	362663.ECP_4456	362663	100.5	7	253	8	250	258
362663.ECP_0037	362663.ECP_0037	362663	1093.6	1	522	1	522	522
362663.ECP_0037	362663.ECP_0410	362663	127.9	30	522	70	599	628
362663.ECP_0037	362663.ECP_0618	362663	89.4	42	521	480	958	1293
362663.ECP_0037	362663.ECP_0626	362663	140.2	44	522	50	527	536
362663.ECP_0037	362663.ECP_1648	362663	194.1	17	521	38	553	566
362663.ECP_0037	362663.ECP_1748	362663	179.1	62	522	80	561	572
362663.ECP_0037	362663.ECP_1942	362663	73.9	42	491	591	1016	2035
362663.ECP_0037	362663.ECP_1946	362663	118.2	44	521	41	512	525
362663.ECP_0037	362663.ECP_1967	362663	89.0	25	461	461	873	1455
362663.ECP_0037	362663.ECP_1970	362663	84.0	27	476	1277	1708	2154
362663.ECP_0037	362663.ECP_1971	362663	92.0	27	521	514	982	2166
362663.ECP_0037	362663.ECP_1973	362663	106.3	44	516	1011	1468	1598
362663.ECP_0037	362663.ECP_2304	362663	79.7	42	522	27	444	451
362663.ECP_0037	362663.ECP_2849	362663	54.3	66	515	254	701	719
362663.ECP_0037	362663.ECP_3060	362663	73.2	41	522	45	555	573
362663.ECP_0037	362663.ECP_4301	362663	137.1	26	522	90	616	652
362663.ECP_0038	362663.ECP_0038	362663	843.6	1	405	1	405	405
362663.ECP_0038	362663.ECP_2396	362663	105.5	10	358	8	363	381
362663.ECP_0038	362663.ECP_2399	362663	95.9	11	392	4	407	416
362663.ECP_0039	362663.ECP_0039	362663	792.7	1	380	1	380	380
362663.ECP_0039	362663.ECP_1642	362663	366.7	1	380	2	382	384
362663.ECP_0039	362663.ECP_1975	362663	104.0	2	367	5	362	376
362663.ECP_0039	362663.ECP_4432	362663	82.8	60	378	129	447	546
362663.ECP_0040	362663.ECP_0040	362663	1016.1	1	504	1	504	504
362663.ECP_0040	362663.ECP_0390	362663	152.1	1	499	4	501	677
362663.ECP_0041	362663.ECP_0041	362663	510.4	1	256	1	256	256
362663.ECP_0041	362663.ECP_1644	362663	269.2	1	256	1	253	254
362663.ECP_0042	362663.ECP_0042	362663	643.7	1	313	1	313	313
362663.ECP_0042	362663.ECP_1645	362663	278.5	1	313	1	312	312
362663.ECP_0042	362663.ECP_2743	362663	67.0	192	311	165	281	286
362663.ECP_0043	362663.ECP_0043	362663	868.2	1	428	1	428	428
362663.ECP_0043	362663.ECP_1646	362663	547.7	1	428	1	429	429
362663.ECP_0043	362663.ECP_2740	362663	340.9	3	428	2	423	423
362663.ECP_0044	362663.ECP_0044	362663	199.1	1	95	1	95	95
362663.ECP_0044	362663.ECP_1647	362663	136.7	2	95	4	97	97
362663.ECP_0044	362663.ECP_2741	362663	85.5	23	95	14	86	86
362663.ECP_0045	362663.ECP_0045	362663	885.9	1	443	1	443	443
362663.ECP_0045	362663.ECP_1527	362663	52.0	55	197	60	216	455
362663.ECP_0045	362663.ECP_1717	362663	75.9	2	436	6	452	452
