#string_protein_id	preferred_name	protein_size	annotation
1034809.SLUG_00010	dnaA	455	Plays an important role in the initiation and regulation of chromosomal replication. Binds to the origin of replication; it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box): 5'- TTATC[CA]A[CA]A-3'. DnaA binds to ATP and to acidic phospholipids. 
1034809.SLUG_00020	dnaN	377	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP- independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria; Pol III exhibits 3'-5' exonuclease proofreading activity. The beta chain is required for initiation of replication as well as for proces [...] 
1034809.SLUG_00030	yaaA	77	annotation not available
1034809.SLUG_00040	recF	371	The RecF protein is involved in DNA metabolism; it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP
1034809.SLUG_00050	gyrB	644	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner
1034809.SLUG_00060	gyrA	894	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner
1034809.SLUG_00070	nnrD	272	Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S-and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. 
1034809.SLUG_00080	serS	427	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L- seryl-tRNA(Sec), which will be further converted into selenocysteinyl- tRNA(Sec)
1034809.SLUG_00090	CCB52402.1	231	annotation not available
1034809.SLUG_00100	CCB52403.1	109	annotation not available
1034809.SLUG_00110	CCB52404.1	322	Belongs to the AB hydrolase superfamily. MetX family. 
1034809.SLUG_00120	CCB52405.1	309	annotation not available
1034809.SLUG_00130	CCB52406.1	639	Has phosphodiesterase (PDE) activity against cyclic-di-AMP (c-di-AMP)
1034809.SLUG_00140	rplI	148	Binds to the 23S rRNA
1034809.SLUG_00150	dnaC	465	Participates in initiation and elongation during chromosome replication; it exhibits DNA-dependent ATPase activity. 
1034809.SLUG_00160	purA	427	Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP
1034809.SLUG_00170	yycF	233	annotation not available
1034809.SLUG_00180	yycG	607	annotation not available
1034809.SLUG_00190	yycH	443	annotation not available
1034809.SLUG_00200	yycI	263	annotation not available
1034809.SLUG_00210	icaC	341	annotation not available
1034809.SLUG_00220	icaB	287	annotation not available
1034809.SLUG_00230	icaD	108	annotation not available
1034809.SLUG_00240	icaA	407	annotation not available
1034809.SLUG_00250	CCB52418.1	344	annotation not available
1034809.SLUG_00260	yycJ	263	annotation not available
1034809.SLUG_00270	rlmH	159	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA
1034809.SLUG_00280	CCB52421.1	138	annotation not available
1034809.SLUG_00290	CCB52422.1	137	annotation not available
1034809.SLUG_00300	CCB52423.1	45	annotation not available
1034809.SLUG_00310	CCB52424.1	161	annotation not available
1034809.SLUG_00320	hlb	329	annotation not available
1034809.SLUG_00330	CCB52426.1	184	annotation not available
1034809.SLUG_00340	CCB52427.1	304	annotation not available
1034809.SLUG_00350	CCB52428.1	212	annotation not available
1034809.SLUG_00360	CCB52429.1	326	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines
1034809.SLUG_00380	SLUG_00380	55	annotation not available
1034809.SLUG_00390	CCB52435.1	287	annotation not available
1034809.SLUG_00400	CCB52436.1	244	annotation not available
1034809.SLUG_00410	CCB52437.1	97	annotation not available
1034809.SLUG_00430	SLUG_00430	300	Bacteriocin biosynthesis cyclodehydratase, SagC family; Homology to SagB of S. pyogenes, contains a frameshift after aa 163 of the protein
1034809.SLUG_00440	CCB52440.1	441	YcaO-like family protein; Homology to a SagD of Streptococcus iniae
1034809.SLUG_00450	CCB52441.1	181	annotation not available
1034809.SLUG_00460	CCB52442.1	367	annotation not available
1034809.SLUG_00470	CCB52443.1	221	annotation not available
1034809.SLUG_00480	CCB52444.1	203	annotation not available
1034809.SLUG_00490	CCB52445.1	371	annotation not available
1034809.SLUG_00500	CCB52446.1	291	annotation not available
1034809.SLUG_00510	CCB52447.1	301	annotation not available
1034809.SLUG_00520	CCB52448.1	101	annotation not available
1034809.SLUG_00530	CCB52449.1	750	annotation not available
1034809.SLUG_00540	CCB52450.1	128	annotation not available
1034809.SLUG_00550	CCB52451.1	214	annotation not available
1034809.SLUG_00560	CCB52452.1	302	annotation not available
1034809.SLUG_00570	CCB52454.1	336	annotation not available
1034809.SLUG_00590	SLUG_00590	250	CDS contains a frameshift after residue 305
1034809.SLUG_00600	CCB52457.1	49	annotation not available
1034809.SLUG_00610	CCB52460.1	117	annotation not available
1034809.SLUG_00620	CCB52461.1	208	Belongs to the P-Pant transferase superfamily. 
1034809.SLUG_00630	CCB52462.1	2393	annotation not available
1034809.SLUG_00640	CCB52465.1	51	annotation not available
1034809.SLUG_00650	CCB52466.1	68	Possible N-terminus of a larger CDS
1034809.SLUG_00660	CCB52467.1	182	Tandem lipoprotein; Possible C-terminus of a larger CDS; Belongs to the staphylococcal tandem lipoprotein family
1034809.SLUG_00670	CCB52468.1	261	Belongs to the staphylococcal tandem lipoprotein family. 
1034809.SLUG_00680	CCB52469.1	144	annotation not available
1034809.SLUG_00690	CCB52470.1	234	annotation not available
1034809.SLUG_00700	CCB52471.1	270	Belongs to the staphylococcal tandem lipoprotein family. 
1034809.SLUG_00710	CCB52472.1	261	annotation not available
1034809.SLUG_00720	CCB52473.1	441	annotation not available
1034809.SLUG_00730	CCB52474.1	108	annotation not available
1034809.SLUG_00740	CCB52475.1	95	annotation not available
1034809.SLUG_00750	ldh2	320	Catalyzes the conversion of lactate to pyruvate. 
1034809.SLUG_00760	CCB52477.1	237	annotation not available
1034809.SLUG_00770	CCB52478.1	372	annotation not available
1034809.SLUG_00780	CCB52479.1	310	Belongs to the aldolase LacD family
1034809.SLUG_00790	CCB52480.1	159	annotation not available
1034809.SLUG_00800	CCB52481.1	299	annotation not available
1034809.SLUG_00810	CCB52482.1	296	annotation not available
1034809.SLUG_00820	CCB52483.1	131	annotation not available
1034809.SLUG_00830	CCB52484.1	72	annotation not available
1034809.SLUG_00840	KdpE(SCCmec)	233	annotation not available
1034809.SLUG_00850	KdpD(SCCmec)	884	annotation not available
1034809.SLUG_00860	kdpA	558	Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit binds and transports the potassium across the cytoplasmic membrane. 
1034809.SLUG_00870	kdpB	673	Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit is responsible for energy coupling to the transport system. 
1034809.SLUG_00880	kdpC	187	Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit acts as a catalytic chaperone that increases the ATP-binding affinity of the ATP-hydrolyzing subunit KdpB by the formation of a transient KdpB/KdpC/ATP ternary complex
1034809.SLUG_00890	IsdB	690	Putative iron-regulated surface determinant protein B; Homology to IsdB of S. aureus especially within the NEAT domains
1034809.SLUG_00900	CCB52491.1	194	annotation not available
1034809.SLUG_00910	CCB52492.1	235	annotation not available
1034809.SLUG_00920	CCB52493.1	486	annotation not available
1034809.SLUG_00930	IsdJ	646	Signal peptide protein, YSIRK family; Homology to IsdA of S. aureus especially within the NEAT domains
1034809.SLUG_00940	isdC	228	annotation not available
1034809.SLUG_00950	IsdK	465	Iron transport-associated domain protein; Might be rather cell wall-bound via sortaseB than membrane anchored
1034809.SLUG_00960	isdE	296	annotation not available
1034809.SLUG_00970	isdF	324	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily
1034809.SLUG_00980	CCB52499.1	259	annotation not available
1034809.SLUG_00990	srtB	240	annotation not available
1034809.SLUG_01000	isdG	107	Allows bacterial pathogens to use the host heme as an iron source. Catalyzes the oxidative degradation of the heme macrocyclic porphyrin ring to the oxo-bilirubin chromophore staphylobilin (a mixture of the linear tetrapyrroles 5-oxo-delta-bilirubin and 15-oxo- beta-bilirubin) in the presence of a suitable electron donor such as ascorbate or NADPH--cytochrome P450 reductase, with subsequent release of free iron
1034809.SLUG_01010	Autolysin	498	annotation not available
1034809.SLUG_01020	sirC	332	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily
1034809.SLUG_01030	sirB	331	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily
1034809.SLUG_01040	sirA	330	annotation not available
1034809.SLUG_01050	CCB52506.1	202	annotation not available
1034809.SLUG_01060	CCB52507.1	187	annotation not available
1034809.SLUG_01070	CCB52508.1	196	annotation not available
1034809.SLUG_01080	CCB52509.1	310	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid
1034809.SLUG_01090	ugpC	372	Belongs to the ABC transporter superfamily. 
1034809.SLUG_01100	CCB52512.1	322	annotation not available
1034809.SLUG_01110	CCB52513.1	563	annotation not available
1034809.SLUG_01120	CCB52515.1	298	annotation not available
1034809.SLUG_01130	CCB52516.1	286	annotation not available
1034809.SLUG_01140	CCB52517.1	446	annotation not available
1034809.SLUG_01150	CCB52519.1	254	annotation not available
1034809.SLUG_01160	CCB52520.1	192	Belongs to the phosphoglycerate mutase family. 
1034809.SLUG_01170	saeS	348	annotation not available
1034809.SLUG_01180	saeR	226	annotation not available
1034809.SLUG_01190	saeQ	160	annotation not available
1034809.SLUG_01200	saeP	142	annotation not available
1034809.SLUG_01210	CCB52527.1	53	annotation not available
1034809.SLUG_01220	CCB52528.1	203	Uncharacterized protein; Possible alternative translational start
1034809.SLUG_01230	CCB52529.1	64	Uncharacterized protein; Doubtful CDS
1034809.SLUG_01240	CCB52530.1	263	annotation not available
1034809.SLUG_01250	CCB52531.1	289	Belongs to the LysR transcriptional regulatory family. 
1034809.SLUG_01260	CCB52532.1	345	Belongs to the ABC transporter superfamily. 
1034809.SLUG_01270	CCB52533.1	340	annotation not available
1034809.SLUG_01280	CCB52534.1	552	annotation not available
1034809.SLUG_01290	CCB52535.1	204	annotation not available
1034809.SLUG_01300	CCB52536.1	232	annotation not available
1034809.SLUG_01310	CCB52537.1	316	annotation not available
1034809.SLUG_01320	CCB52538.1	207	annotation not available
1034809.SLUG_01330	CCB52539.1	381	annotation not available
1034809.SLUG_01340	CCB52541.1	453	annotation not available
1034809.SLUG_01350	CCB52542.1	188	annotation not available
1034809.SLUG_01360	CCB52544.1	137	annotation not available
1034809.SLUG_01370	thrZ	638	Catalyzes the attachment of threonine to tRNA(Thr) in a two- step reaction: L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr). 
1034809.SLUG_01380	CCB52547.1	500	FAD binding domain protein; Homology to OxyL of Streptomyces rimosus
1034809.SLUG_01390	brnQ	452	Component of the transport system for branched-chain amino acids
1034809.SLUG_01400	CCB52549.1	52	Uncharacterized protein; Doubtful CDS
1034809.SLUG_01410	CCB52550.1	242	annotation not available
1034809.SLUG_01420	CCB52551.1	870	annotation not available
1034809.SLUG_01430	CCB52552.1	266	annotation not available
1034809.SLUG_01440	CCB52553.1	452	annotation not available
1034809.SLUG_01450	CCB52554.1	73	annotation not available
1034809.SLUG_01460	opp-1A	533	annotation not available
1034809.SLUG_01470	opp-1B	313	annotation not available
1034809.SLUG_01480	opp-1C	289	annotation not available
1034809.SLUG_01490	opp-1D	271	annotation not available
1034809.SLUG_01500	opp-1F	249	annotation not available
1034809.SLUG_01510	CCB52561.1	396	annotation not available
1034809.SLUG_01520	shpI	437	annotation not available
1034809.SLUG_01530	CCB52563.1	189	annotation not available
1034809.SLUG_01540	CCB52564.1	543	annotation not available
1034809.SLUG_01550	msrA3	159	Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine. 
1034809.SLUG_01560	CCB52566.1	43	annotation not available
1034809.SLUG_01570	CCB52567.1	226	annotation not available
1034809.SLUG_01580	CCB52568.1	322	annotation not available
1034809.SLUG_01590	CCB52569.1	199	annotation not available
1034809.SLUG_01600	glcA	679	annotation not available
1034809.SLUG_01610	CCB52571.1	306	annotation not available
1034809.SLUG_01620	CCB52572.1	230	annotation not available
1034809.SLUG_01630	CCB52573.1	371	annotation not available
1034809.SLUG_01640	CCB52574.1	411	Belongs to the peptidase S11 family. 
1034809.SLUG_01650	CCB52575.1	198	annotation not available
1034809.SLUG_01660	CCB52576.1	828	annotation not available
1034809.SLUG_01670	CCB52577.1	343	annotation not available
1034809.SLUG_01680	CCB52578.1	189	annotation not available
1034809.SLUG_01690	pflB	748	annotation not available
1034809.SLUG_01700	pflA	251	Activation of pyruvate formate-lyase under anaerobic conditions by generation of an organic free radical, using S- adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine
1034809.SLUG_01710	arsR2	105	annotation not available
1034809.SLUG_01720	arsB1	430	Involved in arsenical resistance. Thought to form the channel of an arsenite pump
1034809.SLUG_01740	SLUG_01740	235	CDS contains a frameshift after residue 125
1034809.SLUG_01750	CCB52585.1	54	annotation not available
1034809.SLUG_01760	butA	257	Belongs to the short-chain dehydrogenases/reductases (SDR) family
1034809.SLUG_01770	cspC	66	annotation not available
1034809.SLUG_01780	CCB52588.1	191	annotation not available
1034809.SLUG_01790	CCB52589.1	565	annotation not available
1034809.SLUG_01800	CCB52590.1	401	annotation not available
1034809.SLUG_01810	CCB52591.1	166	annotation not available
1034809.SLUG_01820	CCB52592.1	160	annotation not available
1034809.SLUG_01830	CCB52593.1	499	annotation not available
1034809.SLUG_01840	CCB52594.1	372	annotation not available
1034809.SLUG_01850	crtM	287	annotation not available
1034809.SLUG_01860	crtN	501	annotation not available
1034809.SLUG_01870	CCB52597.1	390	annotation not available
1034809.SLUG_01880	CCB52598.1	42	Uncharacterized protein; Possible remnant
1034809.SLUG_01890	CCB52599.1	313	annotation not available
1034809.SLUG_01900	mepB	157	annotation not available
1034809.SLUG_01910	CCB52601.1	223	annotation not available
1034809.SLUG_01920	CCB52602.1	306	annotation not available
1034809.SLUG_01930	CCB52603.1	388	annotation not available
1034809.SLUG_01940	CCB52604.1	498	annotation not available
1034809.SLUG_01950	CCB52605.1	198	annotation not available
1034809.SLUG_01960	CCB52606.1	227	annotation not available
1034809.SLUG_01970	CCB52607.1	517	annotation not available
1034809.SLUG_01980	CCB52609.1	316	annotation not available
1034809.SLUG_01990	CCB52611.1	256	annotation not available
1034809.SLUG_02000	CCB52613.1	238	annotation not available
1034809.SLUG_02010	CCB52614.1	207	annotation not available
1034809.SLUG_02020	CCB52616.1	546	annotation not available
1034809.SLUG_02030	CCB52617.1	159	annotation not available
1034809.SLUG_02040	isaB	173	annotation not available
1034809.SLUG_02050	CCB52619.1	231	annotation not available
